State,Hub,Spoke,Doctors,CHO,OPD - v1,OPD - v2,Total OPD Consultations,HWC - v1,HWC - v2,Total HWC Consultations,Total Consultations
India,4863,21023,6365,21341,0,380,380,0,118166,118166,118546
Andhra Pradesh,930,3702,1073,3705,0,0,0,0,27495,27495,27495
Bihar,44,3693,531,3936,0,21,21,0,18863,18863,18884
Uttar Pradesh,1008,4043,1182,4055,0,0,0,0,18199,18199,18199
Tamil Nadu,511,1066,640,1067,0,0,0,0,11675,11675,11675
Gujarat,522,1230,561,1230,0,0,0,0,10740,10740,10740
Telangana,399,1183,406,1183,0,0,0,0,9857,9857,9857
Karnataka,538,1560,690,1565,0,0,0,0,7355,7355,7355
Madhya Pradesh,51,974,219,975,0,0,0,0,3172,3172,3172
Maharashtra,330,631,361,636,0,0,0,0,2841,2841,2841
Odisha,164,845,179,846,0,0,0,0,2098,2098,2098
Chhattisgarh,80,299,109,299,0,0,0,0,1026,1026,1026
Jharkhand,30,235,68,235,0,0,0,0,765,765,765
Assam,3,280,16,280,0,0,0,0,746,746,746
Rajasthan,119,156,122,156,0,0,0,0,732,732,732
Kerala,14,376,40,423,0,0,0,0,679,679,679
Uttarakhand,1,74,4,74,0,359,359,0,211,211,570
Punjab,3,210,14,210,0,0,0,0,497,497,497
Jammu & Kashmir,54,90,61,90,0,0,0,0,346,346,346
Haryana,7,115,15,115,0,0,0,0,244,244,244
Himachal Pradesh,40,93,50,93,0,0,0,0,205,205,205
Meghalaya,5,75,9,75,0,0,0,0,183,183,183
Chandigarh,2,27,5,27,0,0,0,0,119,119,119
Ladakh,1,33,2,33,0,0,0,0,61,61,61
Sikkim,2,18,3,18,0,0,0,0,27,27,27
Arunachal Pradesh,2,7,2,7,0,0,0,0,11,11,11
The Dadra and Nagar Haveli and Daman And Diu,1,1,1,1,0,0,0,0,10,10,10
Puducherry,1,6,1,6,0,0,0,0,8,8,8
Delhi,1,1,1,1,0,0,0,0,1,1,1
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Andaman And Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0
Tripura,0,0,0,0,0,0,0,0,0,0,0
Manipur,0,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0,0,0,0,0,0
West Bengal,0,0,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0
