State,Hub,Spoke,Doctors,CHO,OPD - v1,OPD - v2,Total OPD Consultations,HWC - v1,HWC - v2,Total HWC Consultations,Total Consultations
India,6533,32695,8692,33226,0,2120,2120,0,203430,203430,205550
Andhra Pradesh,1094,5967,1275,5967,0,0,0,0,50258,50258,50258
Uttar Pradesh,1609,7945,1943,7980,0,19,19,0,41361,41361,41380
Bihar,44,4564,658,4922,0,38,38,0,29144,29144,29182
Tamil Nadu,670,1671,855,1671,0,0,0,0,19589,19589,19589
Gujarat,697,1819,752,1821,0,12,12,0,17179,17179,17191
Telangana,460,1390,482,1390,0,0,0,0,11524,11524,11524
Karnataka,598,1819,813,1849,0,1138,1138,0,9697,9697,10835
Madhya Pradesh,55,1913,290,1916,0,0,0,0,6298,6298,6298
Maharashtra,526,1109,567,1114,0,359,359,0,4337,4337,4696
Odisha,194,1142,216,1144,0,0,0,0,3283,3283,3283
Chhattisgarh,102,554,179,554,0,0,0,0,1892,1892,1892
Rajasthan,208,299,209,299,0,5,5,0,1381,1381,1386
Assam,8,426,21,427,0,0,0,0,1235,1235,1235
Jharkhand,35,302,93,305,0,0,0,0,1233,1233,1233
Uttarakhand,3,191,12,191,0,406,406,0,809,809,1215
Kerala,12,440,48,532,0,120,120,0,973,973,1093
Jammu & Kashmir,103,236,114,236,0,2,2,0,860,860,862
Punjab,4,285,17,285,0,0,0,0,655,655,655
Haryana,10,207,21,207,0,4,4,0,467,467,471
Himachal Pradesh,69,149,77,149,0,6,6,0,424,424,430
Meghalaya,6,87,11,87,0,0,0,0,245,245,245
Ladakh,1,72,4,72,0,0,0,0,223,223,223
Chandigarh,2,27,5,27,0,0,0,0,130,130,130
Tripura,17,30,18,30,0,0,0,0,104,104,104
Sikkim,1,30,5,30,0,0,0,0,81,81,81
Arunachal Pradesh,1,11,2,11,0,0,0,0,18,18,18
The Dadra and Nagar Haveli and Daman And Diu,2,2,2,2,0,0,0,0,17,17,17
Nagaland,1,5,2,5,0,0,0,0,8,8,8
Delhi,0,0,0,0,0,7,7,0,0,0,7
Puducherry,1,3,1,3,0,0,0,0,5,5,5
Goa,0,0,0,0,0,3,3,0,0,0,3
West Bengal,0,0,0,0,0,1,1,0,0,0,1
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Andaman And Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
Manipur,0,0,0,0,0,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0,0,0,0,0,0
