State,Hub,Spoke,Doctors,CHO,OPD - v1,OPD - v2,Total OPD Consultations,HWC - v1,HWC - v2,Total HWC Consultations,Total Consultations
India,3887,13905,4991,13510,0,1169,1169,0,77550,77550,78719
Andhra Pradesh,833,2645,966,2477,0,0,0,0,18222,18222,18222
Uttar Pradesh,888,3040,994,3044,0,8,8,0,14157,14157,14165
Bihar,42,2225,393,2337,0,24,24,0,10267,10267,10291
Tamil Nadu,461,882,572,816,0,0,0,0,9896,9896,9896
Gujarat,413,775,438,696,0,1,1,0,7219,7219,7220
Telangana,291,679,296,594,0,0,0,0,6072,6072,6072
Karnataka,321,894,459,810,0,772,772,0,4034,4034,4806
Madhya Pradesh,53,697,162,696,0,0,0,0,2019,2019,2019
Maharashtra,214,403,234,379,0,117,117,0,1385,1385,1502
Odisha,111,414,117,410,0,0,0,0,885,885,885
Jharkhand,22,173,45,173,0,0,0,0,722,722,722
Rajasthan,102,139,104,139,0,0,0,0,675,675,675
Uttarakhand,1,86,9,86,0,160,160,0,296,296,456
Chhattisgarh,48,140,58,140,0,0,0,0,355,355,355
Kerala,7,168,28,186,0,73,73,0,265,265,338
Punjab,3,152,14,152,0,0,0,0,288,288,288
Haryana,8,121,20,121,0,1,1,0,188,188,189
Assam,10,106,13,106,0,0,0,0,186,186,186
Jammu & Kashmir,30,41,30,41,0,0,0,0,119,119,119
Chandigarh,2,21,5,21,0,0,0,0,85,85,85
Himachal Pradesh,16,33,18,19,0,2,2,0,83,83,85
Meghalaya,4,41,6,41,0,0,0,0,70,70,70
Ladakh,1,9,3,9,0,0,0,0,15,15,15
Puducherry,1,7,1,4,0,0,0,0,14,14,14
Nagaland,1,5,2,5,0,0,0,0,9,9,9
Delhi,0,0,0,0,0,9,9,0,0,0,9
Sikkim,1,6,1,5,0,0,0,0,8,8,8
Mizoram,1,1,1,1,0,0,0,0,8,8,8
The Dadra and Nagar Haveli and Daman And Diu,1,1,1,1,0,0,0,0,7,7,7
Goa,0,0,0,0,0,2,2,0,0,0,2
Arunachal Pradesh,1,1,1,1,0,0,0,0,1,1,1
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Andaman And Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
Tripura,0,0,0,0,0,0,0,0,0,0,0
Manipur,0,0,0,0,0,0,0,0,0,0,0
West Bengal,0,0,0,0,0,0,0,0,0,0,0
